company_symbol,release_date,title,contan
SBI,2022-02-01,"Union Budget 2022: Digital rupee and 30% crypto tax announced","SBI's digital banking investments to benefit from CBDC rollout plans"
SBI,2022-05-04,"RBI hikes repo rate by 40 bps to 4.40% in off-cycle move","First rate hike since 2018; SBI to transmit to borrowers gradually"
SBI,2022-06-08,"RBI hikes repo by 50 bps to 4.90%","SBI increases MCLR by 10 bps; loan EMIs to rise"
SBI,2022-09-30,"SBI raises ₹4,000 crore via infrastructure bonds at 7.99%","Long-term funds for infrastructure lending; oversubscribed 3.5 times"
SBI,2023-02-01,"Union Budget 2023: Capex push to boost credit growth","SBI expects 12-14% loan growth on infrastructure and corporate lending"
SBI,2023-06-08,"RBI keeps repo rate unchanged at 6.5% after 6 hikes","SBI's NIMs to stabilise; loan growth remains strong"
SBI,2023-08-10,"SBI Q1 profit jumps 178% to ₹16,884 crore on NII growth","Net interest income up 24.7%; asset quality best in decade"
SBI,2023-12-08,"RBI MPC keeps repo rate at 6.5%; GDP forecast raised","SBI maintains growth guidance; home loan demand resilient"
SBI,2024-02-01,"Interim Budget 2024: Fiscal deficit target at 5.1%","Bond yields fall 10 bps; SBI treasury gains boost Q4 earnings"
SBI,2024-04-05,"RBI keeps repo rate at 6.5% amid election season","Status quo maintained; SBI's credit growth at 14%"
SBI,2024-07-23,"Union Budget 2024: ₹2.2 lakh crore for affordable housing","SBI's home loan portfolio to benefit from expanded PMAY scheme"
SBI,2025-04-09,"RBI cuts repo rate by 25 bps to 6.25%, first cut in 5 years","SBI reduces lending rates by 20 bps; home loan EMIs to fall"
SBI,2025-10-08,"SBI Q2 profit up 28% to ₹14,330 crore on strong loan growth","Domestic loan growth at 15%; NIMs stable at 3.22%"
SBI,2026-02-05,"Budget 2026: Agriculture credit target raised to ₹30 lakh crore","SBI's rural lending to benefit; Kisan Credit Card limits enhanced"
HCL,2020-02-01,"Union Budget 2020: Digital India push continues","HCL expects increased government IT spending on DBT and digital infrastructure"
HCL,2020-03-25,"COVID-19 lockdown impacts Q3 revenue guidance","HCL withdraws guidance citing uncertainty; work-from-home transition begins"
HCL,2020-07-15,"HCL acquires Australian firm DWS for $20 million","Expands APAC presence; adds 450 employees in digital and cloud practice"
HCL,2020-10-15,"HCL Q1 profit down but deal pipeline strong at $1.2 billion","Client spending cautious but digital transformation deals growing"
HCL,2021-02-01,"Budget 2021: Digital infrastructure focus continues","HCL's public sector vertical to benefit from e-governance projects"
HCL,2021-04-20,"HCL announces ₹500 crore ESOP buyback for employees","Retention strategy amid high attrition in IT sector"
HCL,2022-02-01,"Budget 2022: AI and cybersecurity focus","HCL's DRYiCE automation platform to benefit from enterprise AI adoption"
HCL,2023-01-12,"HCL Q3 profit up 11% to ₹4,096 crore; raises FY23 guidance","Deal wins at $2.07 billion; revenue growth guidance raised to 13.5-14%"
HCL,2024-07-12,"HCL Q1 profit down 7.6% sequentially on one-time costs","Operating margin at 17.1%; deal TCV at $2.2 billion"
HCL,2025-10-16,"HCL Q1 profit up 6.5% to ₹4,000 crore; deal wins at $2.4 billion","Americas growth at 11.8%; Europe muted at 0.3% due to macro uncertainty"
TECHMAHIND,2020-02-01,"Union Budget 2020: Telecom and 5G focus","Tech Mahindra to benefit from communications sector investments"
TECHMAHIND,2020-04-08,"Tech Mahindra acquires US firm Eventus for $15 million","Strengthens BPS capabilities in mortgage and lending space"
TECHMAHIND,2021-02-01,"Budget 2021: PLI scheme for IT hardware announced","Tech Mahindra eligible for manufacturing incentives"
TECHMAHIND,2021-06-15,"Tech Mahindra launches 5G solution with Microsoft Azure","Collaboration to accelerate private 5G adoption for enterprises"
TECHMAHIND,2022-02-01,"Budget 2022: Spectrum auction plans announced","Tech Mahindra's communications vertical to benefit from telco capex"
TECHMAHIND,2023-01-30,"Tech Mahindra Q3 profit drops 21% to ₹1,297 crore","Margin pressure from wage hikes and sub-contracting costs"
TECHMAHIND,2024-01-24,"Tech Mahindra Q3 profit down 40% to ₹510 crore; CEO quits","Weakness in communications vertical drags performance; CP Gurnani to retire"
TECHMAHIND,2024-07-24,"Tech Mahindra Q1 profit up 6% to ₹851 crore under new CEO Mohit Joshi","Turnaround strategy begins; focus on cost optimisation"
TECHMAHIND,2025-10-23,"Tech Mahindra Q2 profit jumps 47% to ₹1,506 crore","EBIT margin expands to 9.1% from 7.2%; deal wins at $2.2 billion"
TECHMAHIND,2026-01-24,"Tech Mahindra Q3 profit up 35% to ₹1,312 crore on cost cuts","Revenue flat but margin expansion continues; turnaround on track"
DRREDDYS,2020-02-01,"Budget 2020: Pharma R&D push announced","Dr Reddy's to benefit from increased allocation for bulk drug parks"
DRREDDYS,2020-06-10,"Dr Reddy's launches Remdesivir generic for COVID-19 treatment","First Indian company to launch; supplies to government hospitals"
DRREDDYS,2020-12-20,"Dr Reddy's receives EUA for Sputnik V vaccine in India","Partners with Russian Direct Investment Fund for COVID vaccine distribution"
DRREDDYS,2021-02-01,"Budget 2021: Healthcare spending up 137%","Dr Reddy's domestic business to benefit from increased allocation"
DRREDDYS,2021-09-15,"Dr Reddy's acquires Novartis's select generics portfolio for $611 million","Adds 6 products including authorised generic of Diovan; strengthens US pipeline"
DRREDDYS,2022-02-01,"Budget 2022: PLI scheme for pharma expanded","Dr Reddy's eligible for additional incentives for R&D investments"
DRREDDYS,2023-05-25,"Dr Reddy's launches cancer drug Lenalidomide in US after patent expiry","First-to-file opportunity with 180-day exclusivity"
DRREDDYS,2024-07-29,"Dr Reddy's Q1 profit up 35% to ₹1,380 crore on US growth","US revenues up 24% driven by Lenalidomide exclusivity"
DRREDDYS,2025-01-27,"Dr Reddy's Q3 profit down 10% to ₹1,161 crore on price erosion","US business faces pricing pressure as Lenalidomide exclusivity ends"
DRREDDYS,2025-11-05,"Dr Reddy's acquires US injectables portfolio from Hikma for $100 million","Adds 7 products; strengthens hospital channel presence in US"
DIVISLAB,2020-02-01,"Budget 2020: Bulk drug parks scheme announced","Divis Labs to benefit from ₹3,000 crore allocation for common infrastructure"
DIVISLAB,2020-07-20,"Divis Labs Q1 profit jumps 83% on COVID API demand","Hydroxychloroquine and paracetamol API exports surge"
DIVISLAB,2021-02-01,"Budget 2021: PLI scheme for pharma expanded","Divis Labs eligible for incentives under fermentation-based drugs category"
DIVISLAB,2021-08-05,"Divis Labs Q1 profit up 112% to ₹719 crore","Strong demand for custom synthesis and generic APIs continues"
DIVISLAB,2022-02-01,"Budget 2022: Customs duty on key inputs reduced","Divis Labs' import costs for acetic acid and other solvents to reduce"
DIVISLAB,2023-02-07,"Divis Labs Q3 profit down 40% to ₹524 crore on pricing pressure","Generic API prices soften in Europe and US; margins contract"
DIVISLAB,2024-01-20,"USFDA completes inspection of Unit II with 3 observations","Minor procedural observations; no data integrity issues"
DIVISLAB,2024-05-15,"Divis Labs announces ₹1,500 crore expansion for Kakinada SEZ","New capacity for contract research and manufacturing services"
DIVISLAB,2025-02-03,"Divis Labs Q3 profit down 15% to ₹521 crore on muted demand","Recovery in generic API demand slower than expected"
DIVISLAB,2026-01-19,"Divis Labs Q3 profit up 22% to ₹574 crore on export recovery","European and US demand improves; margins expand to 32%"
